Dress,Sim-la,שִׂמְלָה,Simlot,שִׂמְלוֹת
Driver,Nahag ,נַהָג,Nahagim,נַהָגִים
Duck,Bar-vaz/Va-za,בַּרְוָז/בַּרְוָזָה,Barvazim/Barvazot,בַּרְוָזִים/בַּרְוָזוֹת
Eagle,Ne-sher,נֶשֶׁר,Nesharim,נְשָׁרִים
Ear,O-zen,אֹזֶן,Oznayim,אָזְנַיִם
Engineer,Mehandes/Mehandeset,מְהַנְדֵּס/מְהַנְדֶּסֶת,Mehandesim/Mehandesot,מְהַנְדְּסִים/מְהַנְדְּסוֹת
Entrance,Knisa,כְּנִיסָה,Knisot,כְּנִיסוֹת
Example,Dugma,דֻּגְמָה,Dugmaot,דֻּגְמָאוֹת
Exit,Yetzia,יְצִיאָה,Yetziot,יְצִיאוֹת
Eye,Ayin,עַיִן,Enayim,עֵינַיִם
Eyebrow,Gav-a,גַּבָּה,Gavot,גַּבּוֹת
Farmer,Chakayi/Chakayit,חַקַּאי/חַקָּאִית,Chaka-im/Chaka-iot,חַקָּאִים/חַקָּאִיּוֹת
Finger,Etzba,אֶצְבַּע,Etzbaot,אֶצְבָּעוֹת
Flag,Degel,דֶּגֶל,Degalim,דְּגָלִים
Flour,Ke-mach,קֶמַח,,
Flower,Perach,פֶּרַח,Prachim,פְּרָחִים
Fly,Zvuv,זְבוּב,Zvuvim,זְבוּבִים
Foot,Kaf regel,כַּף רֶגֶל,Kapot raglaim,כַּפּוֹת רַגְלַיִם
Furniture,Rehit,רהיט,Rehitim,רְהִיטִים
Garden,Gan,גַּן,Ganim,גַּנִּים
Gift,Matana,מַתָּנָה,Matanot,מַתָּנוֹת
Glasses (to see),Mishkafayim,מִשְׁקָפַיִם,,
Glove,Kfafa,כְּפָפָה,Kfafot,כְּפָפוֹת
Granddaughter,Nechda,נֶכְדָּה,Nechadot,נְכָדוֹת
Grandson,Neched,נֶכֶד,Nechadim,נְכָדִים
Grape,Anach,עֲנָב,Anavim,עֲנָבִים
Grapefruit,Eskolit,אֶשְׁכּוֹלִית,Eskoliot,אֶשְׁכּוֹלִיּוֹת
Great granddaughter,Nin-ah,נִינָה,Ninot,נִינוֹת
Great grandson,Nin,נִין,Ninim,נִינִים
Guard,Shomer/Shomeret,שׁוֹמֵר/שׁוֹמֶרֶת,Shomrim/Shomrot,שׁוֹמְרִים/שׁוֹמְרוֹת
Guest,Oreach/Orachat,אוֹרֵחַ / אוֹרַחַת,Orchim/Orchot,אוֹרְחִים/אוֹרְחוֹת
Hair,Se-ar,שֵׂעָר,,
Hand,Yad,יָד,Yadaim,יָדַיִם
Hat,KO-va,כּוֹבַע,Kovaim,כּוֹבָעִים
Head,Rosh,רֹאשׁ,Rashim,רָאשִׁים
Heart,Lev,לֵב,Levavot,לְבָבוֹת
Honey,Dvash,דְּבַשׁ,,
Hotel,Malon,מָלוֹן,Melonot,מְלוֹנוֹת
Hour,Sha-a,שָׁעָה,Sha-ot,שָׁעוֹת
Husband,Ba-al,בַּעַל,Ba-alim,בְּעָלִים
Idea,Ra-ayon,רַעְיוֹן,Ra-yonot,רַעְיוֹנוֹת
Idiot,Tembel/Tembelet,טֶמְבֶּל/טֶמְבֶּלֶת,Tembe-lim/Tembe-lot,טֶמְבְּלִים/טֶמְבְּלוֹת
Immigrant,Oleh.Olah,עוֹלֶה / עוֹלָה,Olim/Olot,עוֹלִים/עוֹלוֹת
Information,Mei-da,מֵידָע,,
Internship,Hitmachut,הִתְמַחוּת,Hitmachuyot,הִתְמַחֻיּוֹת
Ingredient,Mitzrach,מִצְרָךְ,Mitzrachim,מִצְרָכִים
Insect,Cherek/Juk (bug),חֶרֶק,Charakim,חֲרָקִים
Jam/Jelly,Ri-ba,רִבָּה,Ribot,רִבּוֹת
Jewelry,Tach-shit,תַּכְשִׁיט,Tachshitim,תַּכְשִׁיטִים
Judge,Shofet,שׁוֹפֵט,Shoftim,שׁוֹפְטִים
Juice,Mitz,מִיץ,,
Key,Mafteach,מַפְתֵּחַ,Maftechot,מַפְתְּחוֹת
Kitchen,Mit-bach,מִטְבָּח,Mitbachim,מִטְבָּחִים
Knee,Beh-rech,בֶּרֶךְ,Bir-kayim,בִּרְכַּיִם
Leaf,Aleh,עָלֶה,Alim,עָלִים
Lake,Agam,אֲגַם,Agamim,אֲגַמִּים
Lawyer,Orech din/Orechet din,עוֹרֵךְ דִּין/עוֹרֶכֶת דִּין,Orchei din/Orchot din,עוֹרְכֵי דִּין/עוֹרְכוֹת דִּין
Leg,Regel,רֶגֶל,Raglaim,רַגְלַיִם
Lesson,Shiur,שִׁיעוּר,Shiurim,שִׁיעוּרִים
Letter/Message,Michtav,מִכְתָּב,Michtavim,מִכְתָּבִים
Library,Sifria,סִפְרִיָּה,Sifriyot,סִפְרִיּוֹת
Line,Kav,קַו,Kavim,קַוִּים
Living Room,Salon,סָלוֹן,Salonim,סָלוֹנִים
Meal,Arucha,אֲרוּחָה,Aruchot,אֲרוּחוֹת
Menu,Tafrit,תַּפְרִיט,Tafritim,תַּפְרִיטִים
Minute,Da-ka,דַּקָּה,Dakot,דַּקּוֹת
Mistake,Ta-ut,טָעוּת,Ta-uyot,טָעֻיּוֹת
