Fun,Kef/Kefit,כֵּיף,,
Grey,Afor/Afor-a,אָפוֹר/אֲפוֹרָה,Aforim/Aforot,אֲפוֹרִים/אֲפוֹרוֹת
Happy,Sameach/Smecha,שָׂמֵחַ/שְׂמֵחָה,Smechim/Smechot,שְׂמֵחִים/שְׂמֵחוֹת
Healthy,Ba-ri/Bri-a,בָּרִיא/בְּרִיאָה,Briim/Briot,בְּרִיאִים/בְּרִיאוֹת
Heavy,Kaved/Kveda,כָּבֵד/כְּבֵדָה,Kvedim/Kvedot,כְּבֵדִים/כְּבֵדוֹת
Hot,Cham/Cham-a,חַם/חַמָּה,Chamim/Chamot,חַמִּים/חַמּוֹת
Hungry,Raev/Re-eva,רָעֵב/רְעֵבָה,Re-evim/Re-evot,רְעֵבִים/רְעֵבוֹת
Important,Chashuv/Chashuva,חָשׁוּב/חֲשׁוּבָה,Chashuvim/Chashuv,חֲשׁוּבִים/חֲשׁוּבוֹת
Interesting,Me'anyen/Me'anyenet,מְעַנְיֵן/מְעַנְיֶנֶת,Meanyenim/Meanyenot,מְעַנְיְנִים/מְעַנְיְנוֹת
Last,Acharon/Acharona,אַחֲרוֹן/אַחֲרוֹנָה,Acharonim/Acharonot,אַחֲרוֹנִים/אַחֲרוֹנוֹת
Late,Meuchar/Meucheret,מְאוּחָר/מְאוּחֶרֶת,Meucharim/Meucharot,מְאוּחָרִים/מְאוּחָרוֹת
Long,Aroch/Aru-ka,אָרוֹךְ/אֲרוּכָּה,Aruchim/Aruchot,אֲרוּכִים/אֲרוּכוֹת
Looking Forward To,Mechakeh/Mechakaya,מְחַכֶּה/מְחַכָּה,Mechakim/Mechakot,מְחַכִּים/מְחַכּוֹת
Loud,Ra-ashan/Ra-ashanit,רַעֲשָׁן/רַעֲשָׁנִית,Ra-ashanim/Ra-ashaniyot,רַעֲשָׁנִים/רַעֲשָׁנִיּוֹת
Low,Namuch/Nemucha,נָמוּךְ/נְמוּכָה,Nemuchim/Nemuchot,נְמוּכִים/נְמוּכוֹת
Old (Growing),Zaken/Zkena,זָקֵן/זְקֵנָה,Zkenim/Zkenot,זְקֵנִים/זְקֵנוֹת
Old (No Grow),Yashan/Yeshana,יָשָׁן/יְשָׁנָה,Yeshanim/Yeshanot,יְשָׁנִים/יְשָׁנוֹת
Proud,Ge-e/Ge-a,גֵּאֶה/גֵּאָה,Ge-im/Go-ot,גֵּאִים/גֵּאוֹת
Quiet,Shaket/Shketa,שָׁקֵט/שְׁקֵטָה,Shketim/Shketot,שְׁקֵטִים/שְׁקֵטוֹת
Ready,Mu-chan/Mu-chan-ah,מוּכָן/מוּכָנָה,Muchanim/Muchanot,מוּכָנִים/מוּכָנוֹת
Sad,Atsuv/At-su-va,עָצוּב/עֲצוּבָה,Atzuvim/Atzuvot,עֲצוּבִים/עֲצוּבוֹת
Safe,Batuach/Btuha,בָּטוּחַ/בְּטוּחָה,Betuchim/Betuchot,בְּטוּחִים/בְּטוּחוֹת
Scared,Mefochad/Mefohedet,מְפֻחָד/מְפֻחֶדֶת,Mefochadim/Mefochadot,מְפֻחָדִים/מְפֻחָדוֹת
Short,Katzar/Ktzar-ah,קָצָר/קְצָרָה,Ktzarim/Ktzarot,קְצָרִים/קְצָרוֹת
